sport_id,bqs,hr,whip,pip,rs9,ab,qs,hldr,ip,ir,sport_code,er,ao,k9,slg,ops,tbf,go_ao,sho,hfly,spct,wpct,bb,np,hgnd,bk,team_count,sb,bq,h9,player_id,avg,sf,sac,era,wp,hpop,so,gidp_opp,pgs,gidp,gf,ppa,hld,sv,cg,g,h,ibb,go,kbb,irs,l,gs,svo,hr9,cs,r,s,w,babip,bb9,hb,pk,obp,sport,db,tr
1,36,241,1.13,15.7,4.36,7935,202,903,2108.1,3,mlb,779,2156,8.54,1.088,1.376,8633,0.94,7,345,66.2,.535,503,33054,619,8,2,127,111,8.03,518516,.237,49,63,3.33,27,15,2001,946,98.4,145,1,3.83,0,0,16,339,1882,38,2018,3.98,1,113,336,0,1.03,60,854,21880,130,.286,2.15,81,30,.288,MLB,393,38
1,32,114,1.32,16.4,4.83,3461,60,484,906.2,0,mlb,416,894,6.66,1.111,1.432,3844,1.18,0,137,61.9,.527,299,14894,272,0,4,38,96,8.93,605200,.260,26,27,4.13,13,7,671,432,88.1,77,0,3.87,0,0,0,169,900,8,1051,2.24,0,52,169,0,1.13,30,454,9214,58,.291,2.97,28,6,.322,MLB,171,23
1,2,0,2.57,22.5,2.89,37,0,5,9.1,0,mlb,10,11,5.79,1.378,1.869,51,0.82,0,2,55.7,.---,12,210,5,1,1,0,11,11.57,666818,.324,1,0,9.64,2,0,6,,*.*,2,2,4.12,2,0,0,7,12,0,9,0.50,0,0,0,0,0.00,0,10,117,0,.375,11.57,1,0,.490,MLB,4,1
1,45,15,1.43,18.0,4.31,669,0,66,177.1,123,mlb,95,117,9.85,1.178,1.523,788,1.75,0,22,60.4,.304,97,3192,66,0,2,10,113,7.97,643316,.235,2,2,4.82,14,3,194,64,*.*,20,42,4.05,37,7,0,188,157,1,205,2.00,31,16,0,16,0.76,3,110,1929,7,.307,4.92,17,1,.345,MLB,23,2
1,10,43,1.18,16.8,3.97,1279,29,137,344.1,0,mlb,128,313,10.14,1.124,1.422,1438,0.99,1,46,63.3,.412,129,5795,94,0,2,16,28,7.27,668678,.217,5,4,3.35,16,1,388,68,92.0,18,0,4.03,0,0,1,63,278,2,309,3.01,0,20,63,0,1.12,8,136,3667,14,.275,3.37,20,1,.298,MLB,59,3
1,0,11,1.14,15.6,3.86,204,2,14,56.0,0,mlb,28,72,6.27,1.127,1.418,230,0.72,1,14,66.5,.286,19,875,16,0,1,3,7,7.23,656457,.221,2,2,4.50,0,1,39,,97.2,5,1,3.80,1,0,1,13,45,1,52,2.05,0,5,9,0,1.77,2,32,582,2,.218,3.05,2,1,.291,MLB,8,1
1,0,0,1.29,12.0,11.57,10,0,2,2.1,1,mlb,2,4,3.86,1.000,1.300,10,0.50,0,0,75.0,.---,0,28,1,0,1,0,0,11.57,606993,.300,0,0,7.71,0,0,1,,*.*,0,3,2.80,0,0,0,3,3,0,2,*.**,0,0,0,0,0.00,0,2,21,0,.333,0.00,0,0,.300,MLB,1,0
1,0,0,0.67,17.3,9.00,11,0,0,3.0,0,mlb,0,5,6.00,1.000,1.182,11,0.40,0,1,65.4,.---,0,52,1,0,1,0,0,6.00,663947,.182,0,0,0.00,0,0,2,,*.*,0,2,4.73,0,0,0,2,2,0,2,*.**,0,0,0,0,0.00,0,0,34,0,.222,0.00,0,0,.182,MLB,0,0
1,0,0,1.00,12.5,36.00,7,0,2,2.0,0,mlb,0,3,0.00,1.000,1.286,7,0.67,0,0,64.0,.---,0,25,0,0,1,0,0,9.00,608348,.286,0,0,0.00,0,0,0,0,*.*,0,2,3.57,0,0,0,2,2,0,2,-.--,0,0,0,0,0.00,0,0,16,0,.286,0.00,0,0,.286,MLB,1,0
1,5,59,1.28,15.8,4.77,1733,35,221,450.2,0,mlb,207,454,7.65,1.093,1.404,1894,1.04,0,88,65.1,.483,132,7107,133,1,1,23,39,8.89,518876,.257,10,9,4.13,10,3,383,104,91.1,31,0,3.75,0,0,0,78,445,9,470,2.90,0,31,78,0,1.18,8,217,4630,29,.297,2.64,8,3,.311,MLB,94,9
